
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.9                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
    -5.00   -40.00    18.25    16.76     3.99     9.40   -15.66    15.54     2.71     1.49     1.23    54.80   124.12    14.50    14.61
    -5.00   -45.00    20.84    18.86     4.67     9.22   -19.69    17.41     3.43     1.98     1.45    57.63   127.43    12.94    13.07
    -5.00   -50.00    23.57    20.98     5.41     9.01   -24.27    19.32     4.25     2.59     1.65    61.05   130.95    11.69    11.84
    -5.00   -55.00    26.48    23.10     6.23     8.78   -29.44    21.30     5.18     3.38     1.80    65.19   134.72    10.67    10.84
    -5.00   -60.00    29.63    25.24     7.15     8.52   -35.28    23.38     6.25     4.39     1.86    70.25   138.81     9.82    10.01
    -5.00   -65.00    33.14    27.40     8.22     8.21   -41.89    25.64     7.50     5.74     1.76    76.58   143.34     9.10     9.31
   -10.00     0.00     0.03    -0.03     0.31    10.50    -2.11     0.03     0.00     0.05    -0.05     0.00   101.93 ******** ********
   -10.00     5.00    -2.10    -2.17    -0.02    10.62    -2.34    -2.13    -0.05    -0.07     0.03   155.20    99.54   113.82   113.78
   -10.00    10.00    -4.22    -4.35    -0.34    10.74    -3.01    -4.17    -0.18    -0.13    -0.05    71.65    97.20    56.80    56.78
   -10.00    15.00    -6.32    -6.55    -0.62    10.86    -4.13    -6.15    -0.40    -0.23    -0.17    56.87    94.92    37.94    37.94
   -10.00    20.00    -8.42    -8.79    -0.88    10.99    -5.71    -8.09    -0.70    -0.37    -0.33    52.60    92.68    28.54    28.56
   -10.00    25.00   -10.52   -11.07    -1.12    11.11    -7.75    -9.99    -1.08    -0.56    -0.52    51.59    90.48    22.90    22.95
   -10.00    30.00   -12.61   -13.42    -1.33    11.24   -10.26   -11.87    -1.55    -0.81    -0.74    52.06    88.32    19.15    19.22
   -10.00    35.00   -14.71   -15.83    -1.52    11.38   -13.26   -13.73    -2.10    -1.12    -0.98    53.41    86.20    16.47    16.56
   -10.00    40.00   -16.81   -18.32    -1.68    11.52   -16.76   -15.60    -2.73    -1.51    -1.22    55.45    84.11    14.46    14.57
   -10.00    45.00   -18.92   -20.93    -1.82    11.66   -20.78   -17.48    -3.45    -2.01    -1.45    58.12    82.05    12.90    13.03
   -10.00    50.00   -21.04   -23.67    -1.94    11.80   -25.35   -19.40    -4.28    -2.63    -1.65    61.44    80.02    11.65    11.81
   -10.00    55.00   -23.18   -26.60    -2.03    11.95   -30.51   -21.38    -5.22    -3.42    -1.80    65.52    78.02    10.63    10.81
   -10.00    60.00   -25.33   -29.77    -2.09    12.10   -36.34   -23.48    -6.29    -4.44    -1.85    70.55    76.04     9.78     9.98
   -10.00    65.00   -27.50   -33.31    -2.13    12.25   -42.94   -25.75    -7.56    -5.81    -1.75    76.89    74.08     9.07     9.28
   -10.00     0.00     0.03    -0.03     0.31    10.50    -2.11     0.03     0.00     0.05    -0.05     0.00   101.93 ******** ********
   -10.00    -5.00     2.17     2.10     0.68    10.38    -2.34     2.13     0.05     0.07    -0.03   155.20   104.38   113.82   113.78
   -10.00   -10.00     4.35     4.22     1.07    10.25    -3.01     4.17     0.18     0.13     0.05    71.65   106.90    56.80    56.78
   -10.00   -15.00     6.55     6.32     1.49    10.13    -4.13     6.15     0.40     0.23     0.17    56.87   109.49    37.94    37.94
   -10.00   -20.00     8.79     8.42     1.95    10.00    -5.71     8.09     0.70     0.37     0.33    52.60   112.17    28.54    28.56
   -10.00   -25.00    11.07    10.52     2.44     9.86    -7.75     9.99     1.08     0.56     0.52    51.59   114.94    22.90    22.95
   -10.00   -30.00    13.42    12.61     2.97     9.72   -10.26    11.87     1.55     0.81     0.74    52.06   117.81    19.15    19.22
   -10.00   -35.00    15.83    14.71     3.54     9.56   -13.26    13.73     2.10     1.12     0.98    53.41   120.81    16.47    16.56
   -10.00   -40.00    18.32    16.81     4.16     9.40   -16.76    15.60     2.73     1.51     1.22    55.45   123.95    14.46    14.57
   -10.00   -45.00    20.93    18.92     4.83     9.21   -20.78    17.48     3.45     2.01     1.45    58.12   127.27    12.90    13.03
   -10.00   -50.00    23.67    21.04     5.57     9.01   -25.35    19.40     4.28     2.63     1.65    61.44   130.78    11.65    11.81
   -10.00   -55.00    26.60    23.18     6.40     8.78   -30.51    21.38     5.22     3.42     1.80    65.52   134.54    10.63    10.81
   -10.00   -60.00    29.77    25.33     7.33     8.52   -36.34    23.48     6.29     4.44     1.85    70.55   138.63     9.78     9.98
   -10.00   -65.00    33.31    27.50     8.40     8.22   -42.94    25.75     7.56     5.81     1.75    76.89   143.14     9.07     9.28
   -15.00     0.00     0.04    -0.04     0.46    10.49    -3.36     0.04     0.00     0.07    -0.07     0.00   101.77 ******** ********
   -15.00     5.00    -2.10    -2.19     0.13    10.61    -3.58    -2.14    -0.05    -0.09     0.04   195.81    99.38   113.97   113.92
   -15.00    10.00    -4.22    -4.37    -0.19    10.73    -4.25    -4.19    -0.18    -0.15    -0.03    81.97    97.04    56.74    56.71
   -15.00    15.00    -6.33    -6.58    -0.47    10.85    -5.37    -6.18    -0.40    -0.25    -0.16    61.39    94.75    37.87    37.87
   -15.00    20.00    -8.44    -8.83    -0.74    10.97    -6.95    -8.12    -0.71    -0.39    -0.32    55.07    92.51    28.47    28.50
   -15.00    25.00   -10.54   -11.12    -0.98    11.10    -8.99   -10.03    -1.09    -0.58    -0.51    53.10    90.32    22.84    22.89
   -15.00    30.00   -12.65   -13.47    -1.19    11.23   -11.50   -11.91    -1.56    -0.83    -0.73    53.05    88.16    19.10    19.17
   -15.00    35.00   -14.75   -15.89    -1.38    11.36   -14.49   -13.78    -2.11    -1.14    -0.97    54.10    86.03    16.42    16.51
   -15.00    40.00   -16.86   -18.40    -1.54    11.50   -17.98   -15.65    -2.75    -1.54    -1.21    55.94    83.94    14.42    14.53
   -15.00    45.00   -18.98   -21.02    -1.68    11.64   -21.99   -17.54    -3.48    -2.03    -1.44    58.48    81.88    12.86    12.99
   -15.00    50.00   -21.12   -23.77    -1.80    11.78   -26.55   -19.47    -4.31    -2.66    -1.65    61.72    79.85    11.61    11.77
   -15.00    55.00   -23.26   -26.71    -1.89    11.93   -31.71   -21.46    -5.25    -3.45    -1.80    65.75    77.84    10.60    10.77
   -15.00    60.00   -25.42   -29.91    -1.96    12.08   -37.53   -23.57    -6.34    -4.48    -1.85    70.77    75.86     9.75     9.95
   -15.00    65.00   -27.60   -33.47    -2.00    12.23   -44.12   -25.86    -7.61    -5.87    -1.74    77.13    73.90     9.04     9.26
   -15.00     0.00     0.04    -0.04     0.46    10.49    -3.36     0.04     0.00     0.07    -0.07     0.00   101.77 ******** ********
   -15.00    -5.00     2.19     2.10     0.83    10.37    -3.58     2.14     0.05     0.09    -0.04   195.81   104.22   113.97   113.92
   -15.00   -10.00     4.37     4.22     1.23    10.25    -4.25     4.19     0.18     0.15     0.03    81.97   106.73    56.74    56.71
   -15.00   -15.00     6.58     6.33     1.65    10.12    -5.37     6.18     0.40     0.25     0.16    61.39   109.33    37.87    37.87
   -15.00   -20.00     8.83     8.44     2.11     9.99    -6.95     8.12     0.71     0.39     0.32    55.07   112.00    28.47    28.50
   -15.00   -25.00    11.12    10.54     2.60     9.86    -8.99    10.03     1.09     0.58     0.51    53.10   114.77    22.84    22.89
   -15.00   -30.00    13.47    12.65     3.13     9.71   -11.50    11.91     1.56     0.83     0.73    53.05   117.64    19.10    19.17
   -15.00   -35.00    15.89    14.75     3.70     9.56   -14.49    13.78     2.11     1.14     0.97    54.10   120.64    16.42    16.51
   -15.00   -40.00    18.40    16.86     4.32     9.39   -17.98    15.65     2.75     1.54     1.21    55.94   123.78    14.42    14.53
   -15.00   -45.00    21.02    18.98     5.00     9.21   -21.99    17.54     3.48     2.03     1.44    58.48   127.09    12.86    12.99
   -15.00   -50.00    23.77    21.12     5.74     9.01   -26.55    19.47     4.31     2.66     1.65    61.72   130.60    11.61    11.77
   -15.00   -55.00    26.71    23.26     6.56     8.78   -31.71    21.46     5.25     3.45     1.80    65.75   134.35    10.60    10.77
   -15.00   -60.00    29.91    25.42     7.49     8.52   -37.53    23.57     6.34     4.48     1.85    70.77   138.43     9.75     9.95
   -15.00   -65.00    33.47    27.60     8.57     8.22   -44.12    25.86     7.61     5.87     1.74    77.13   142.93     9.04     9.26
   -20.00     0.00     0.04    -0.04     0.61    10.48    -4.73     0.04     0.00     0.09    -0.09     0.00   101.60 ******** ********
   -20.00     5.00    -2.10    -2.21     0.27    10.60    -4.95    -2.16    -0.05    -0.11     0.06   226.97    99.21   114.01   113.96
   -20.00    10.00    -4.23    -4.39    -0.04    10.72    -5.62    -4.21    -0.18    -0.16    -0.02    89.91    96.87    56.65    56.63
   -20.00    15.00    -6.35    -6.61    -0.33    10.84    -6.74    -6.21    -0.41    -0.26    -0.14    64.84    94.59    37.79    37.79
   -20.00    20.00    -8.46    -8.87    -0.59    10.96    -8.31    -8.16    -0.71    -0.40    -0.31    56.93    92.35    28.40    28.43
   -20.00    25.00   -10.57   -11.17    -0.83    11.09   -10.35   -10.07    -1.10    -0.60    -0.50    54.22    90.15    22.78    22.83
   -20.00    30.00   -12.68   -13.53    -1.05    11.22   -12.85   -11.96    -1.57    -0.84    -0.73    53.76    87.99    19.04    19.11
   -20.00    35.00   -14.80   -15.96    -1.24    11.35   -15.84   -13.83    -2.12    -1.16    -0.96    54.57    85.86    16.37    16.46
   -20.00    40.00   -16.92   -18.47    -1.41    11.48   -19.32   -15.71    -2.76    -1.56    -1.21    56.26    83.77    14.37    14.49
   -20.00    45.00   -19.05   -21.10    -1.55    11.62   -23.33   -17.60    -3.50    -2.05    -1.44    58.71    81.71    12.82    12.95
   -20.00    50.00   -21.19   -23.87    -1.67    11.76   -27.88   -19.54    -4.33    -2.68    -1.65    61.89    79.68    11.58    11.73
   -20.00    55.00   -23.34   -26.82    -1.76    11.90   -33.03   -21.54    -5.28    -3.48    -1.80    65.89    77.67    10.56    10.74
   -20.00    60.00   -25.51   -30.04    -1.83    12.05   -38.84   -23.66    -6.38    -4.52    -1.86    70.91    75.69     9.72     9.92
   -20.00    65.00   -27.70   -33.63    -1.87    12.20   -45.42   -25.96    -7.66    -5.92    -1.74    77.31    73.73     9.01     9.23
   -20.00     0.00     0.04    -0.04     0.61    10.48    -4.73     0.04     0.00     0.09    -0.09     0.00   101.60 ******** ********
   -20.00    -5.00     2.21     2.10     0.98    10.36    -4.95     2.16     0.05     0.11    -0.06   226.97   104.05   114.01   113.96
   -20.00   -10.00     4.39     4.23     1.38    10.24    -5.62     4.21     0.18     0.16     0.02    89.91   106.56    56.65    56.63
   -20.00   -15.00     6.61     6.35     1.80    10.12    -6.74     6.21     0.41     0.26     0.14    64.84   109.15    37.79    37.79
   -20.00   -20.00     8.87     8.46     2.26     9.99    -8.31     8.16     0.71     0.40     0.31    56.93   111.83    28.40    28.43
   -20.00   -25.00    11.17    10.57     2.75     9.85   -10.35    10.07     1.10     0.60     0.50    54.22   114.59    22.78    22.83
   -20.00   -30.00    13.53    12.68     3.28     9.71   -12.85    11.96     1.57     0.84     0.73    53.76   117.46    19.04    19.11
   -20.00   -35.00    15.96    14.80     3.86     9.56   -15.84    13.83     2.12     1.16     0.96    54.57   120.46    16.37    16.46
   -20.00   -40.00    18.47    16.92     4.48     9.39   -19.32    15.71     2.76     1.56     1.21    56.26   123.59    14.37    14.49
   -20.00   -45.00    21.10    19.05     5.15     9.21   -23.33    17.60     3.50     2.05     1.44    58.71   126.89    12.82    12.95
   -20.00   -50.00    23.87    21.19     5.90     9.01   -27.88    19.54     4.33     2.68     1.65    61.89   130.40    11.58    11.73
   -20.00   -55.00    26.82    23.34     6.72     8.78   -33.03    21.54     5.28     3.48     1.80    65.89   134.15    10.56    10.74
   -20.00   -60.00    30.04    25.51     7.66     8.52   -38.84    23.66     6.38     4.52     1.86    70.91   138.21     9.72     9.92
   -20.00   -65.00    33.63    27.70     8.74     8.23   -45.42    25.96     7.66     5.92     1.74    77.31   142.69     9.01     9.23
   -25.00     0.00     0.05    -0.05     0.76    10.48    -6.23     0.05     0.00     0.10    -0.10     0.00   101.42 ******** ********
   -25.00     5.00    -2.10    -2.22     0.42    10.59    -6.45    -2.17    -0.05    -0.12     0.07   249.26    99.03   113.94   113.89
   -25.00    10.00    -4.24    -4.41     0.10    10.71    -7.12    -4.23    -0.18    -0.18    -0.01    95.57    96.70    56.54    56.52
   -25.00    15.00    -6.36    -6.64    -0.19    10.83    -8.24    -6.23    -0.41    -0.27    -0.13    67.27    94.41    37.69    37.70
   -25.00    20.00    -8.49    -8.90    -0.45    10.95    -9.81    -8.19    -0.72    -0.42    -0.30    58.20    92.17    28.32    28.35
   -25.00    25.00   -10.60   -11.21    -0.70    11.08   -11.84   -10.11    -1.11    -0.61    -0.50    54.95    89.98    22.72    22.77
   -25.00    30.00   -12.72   -13.58    -0.91    11.20   -14.34   -12.00    -1.58    -0.86    -0.72    54.21    87.82    18.98    19.06
   -25.00    35.00   -14.84   -16.02    -1.10    11.33   -17.32   -13.88    -2.14    -1.17    -0.96    54.85    85.69    16.32    16.42
   -25.00    40.00   -16.97   -18.54    -1.27    11.46   -20.80   -15.76    -2.78    -1.57    -1.21    56.43    83.60    14.33    14.44
   -25.00    45.00   -19.11   -21.18    -1.42    11.60   -24.79   -17.66    -3.52    -2.07    -1.45    58.81    81.54    12.78    12.92
   -25.00    50.00   -21.26   -23.96    -1.54    11.74   -29.34   -19.61    -4.36    -2.70    -1.66    61.96    79.51    11.54    11.70
   -25.00    55.00   -23.43   -26.93    -1.63    11.88   -34.48   -21.62    -5.31    -3.50    -1.81    65.95    77.50    10.53    10.71
   -25.00    60.00   -25.61   -30.16    -1.70    12.03   -40.27   -23.75    -6.42    -4.55    -1.86    70.98    75.52     9.69     9.89
   -25.00    65.00   -27.81   -33.78    -1.74    12.17   -46.85   -26.07    -7.71    -5.97    -1.74    77.42    73.55     8.98     9.20
   -25.00     0.00     0.05    -0.05     0.76    10.48    -6.23     0.05     0.00     0.10    -0.10     0.00   101.42 ******** ********
   -25.00    -5.00     2.22     2.10     1.13    10.36    -6.45     2.17     0.05     0.12    -0.07   249.26   103.87   113.94   113.89
   -25.00   -10.00     4.41     4.24     1.52    10.24    -7.12     4.23     0.18     0.18     0.01    95.57   106.38    56.54    56.52
   -25.00   -15.00     6.64     6.36     1.95    10.11    -8.24     6.23     0.41     0.27     0.13    67.27   108.97    37.69    37.70
   -25.00   -20.00     8.90     8.49     2.41     9.98    -9.81     8.19     0.72     0.42     0.30    58.20   111.64    28.32    28.35
   -25.00   -25.00    11.21    10.60     2.90     9.85   -11.84    10.11     1.11     0.61     0.50    54.95   114.41    22.72    22.77
   -25.00   -30.00    13.58    12.72     3.44     9.70   -14.34    12.00     1.58     0.86     0.72    54.21   117.27    18.98    19.06
   -25.00   -35.00    16.02    14.84     4.01     9.55   -17.32    13.88     2.14     1.17     0.96    54.85   120.26    16.32    16.42
   -25.00   -40.00    18.54    16.97     4.63     9.39   -20.80    15.76     2.78     1.57     1.21    56.43   123.39    14.33    14.44
   -25.00   -45.00    21.18    19.11     5.31     9.21   -24.79    17.66     3.52     2.07     1.45    58.81   126.69    12.78    12.92
   -25.00   -50.00    23.96    21.26     6.06     9.01   -29.34    19.61     4.36     2.70     1.66    61.96   130.18    11.54    11.70
   -25.00   -55.00    26.93    23.43     6.88     8.78   -34.48    21.62     5.31     3.50     1.81    65.95   133.92    10.53    10.71
   -25.00   -60.00    30.16    25.61     7.82     8.53   -40.27    23.75     6.42     4.55     1.86    70.98   137.97     9.69     9.89
   -25.00   -65.00    33.78    27.81     8.91     8.23   -46.85    26.07     7.71     5.97     1.74    77.42   142.44     8.98     9.20
